city,state,pet_id,name,breed
San Antonio,TX,48750447,NINO,Australian Cattle Dog
San Antonio,TX,48750446,A580985,Labrador Retriever
San Antonio,TX,48750445,CHESTER,Poodle
San Antonio,TX,48750444,ROXY,Chihuahua
Jacksonville,FL,48750437,JOSIE,Mixed Breed
Fayetteville,NC,48750436,A343854,German Shepherd Dog
Fayetteville,NC,48750435,A343853,Dutch Shepherd
Orlando,FL,48750429,PANTERA,Mastiff
Chula Vista,CA,48750428,BELLA,Siberian Husky
Tacoma,WA,48750426,CASH,Pit Bull Terrier
Atlanta,GA,48750406,MARC,German Shepherd Dog
Atlanta,GA,48750403,LARGE FRY,Rat Terrier
Waco,TX,48750393,DELILAH,Labrador Retriever
West Palm Beach,FL,48750390,PRESLEY,American Bulldog
Houston,TX,48750384,COOKIE,Chihuahua
Houston,TX,48750377,CHIA,Chihuahua
Houston,TX,48750374,SMOKE,German Shepherd Dog
Grand Prairie,TX,48750373,GATOR,Australian Cattle Dog
Dallas,TX,48750357,1105757,Pit Bull Terrier
Dallas,TX,48750354,1105764,Pit Bull Terrier
Dallas,TX,48750355,1105759,Pit Bull Terrier
Dallas,TX,48750356,1105758,Pit Bull Terrier
Dallas,TX,48750358,1105765,Pit Bull Terrier
Dallas,TX,48750353,1105779,German Shepherd Dog
Dallas,TX,48750349,MANCO,Pit Bull Terrier
Dallas,TX,48750348,1105761,Pit Bull Terrier
Dallas,TX,48750351,1105762,Pit Bull Terrier
Dallas,TX,48750350,1105760,Pit Bull Terrier
Dallas,TX,48750352,1105763,Pit Bull Terrier
Santa Fe,NM,48750344,ZUMA,Mixed Breed
Santa Cruz,CA,48750345,MUPPET*,Maltese
Santa Fe,NM,48750342,JEREMIAH,Mixed Breed
Santa Fe,NM,48750343,SKYE,Mixed Breed
